i Re Im
701 1.62284 1.4988e-15
702 1.61718 1.33227e-15
703 1.61152 1.22125e-15
704 1.60586 1.4988e-15
705 1.60018 1.05471e-15
706 1.5945 1.72085e-15
707 1.58881 1.55431e-15
708 1.58311 1.55431e-15
709 1.5774 1.4988e-15
710 1.57169 1.60982e-15
711 1.56597 1.60982e-15
712 1.56024 1.44329e-15
713 1.5545 1.22125e-15
714 1.54876 1.33227e-15
715 1.54301 1.60982e-15
716 1.53726 1.72085e-15
717 1.5315 1.55431e-15
718 1.52573 1.66533e-15
719 1.51995 1.83187e-15
720 1.51417 1.55431e-15
721 1.50838 1.16573e-15
722 1.50259 1.27676e-15
723 1.49679 1.27676e-15
724 1.49099 1.44329e-15
725 1.48518 1.55431e-15
726 1.47936 1.72085e-15
727 1.47354 1.38778e-15
728 1.46771 1.72085e-15
729 1.46188 1.33227e-15
730 1.45604 1.44329e-15
731 1.4502 1.16573e-15
732 1.44435 1.33227e-15
733 1.4385 1.11022e-15
734 1.43264 1.33227e-15
735 1.42678 1.60982e-15
736 1.42092 1.36002e-15
737 1.41505 1.13798e-15
738 1.40917 1.4988e-15
739 1.4033 1.19349e-15
740 1.39741 1.33227e-15
741 1.39153 1.249e-15
742 1.38564 1.66533e-15
743 1.37975 1.41553e-15
744 1.37385 1.08247e-15
745 1.36795 1.30451e-15
746 1.36205 1.55431e-15
747 1.35614 1.72085e-15
748 1.35023 1.4988e-15
749 1.34432 1.52656e-15
750 1.3384 1.36002e-15
751 1.33249 1.52656e-15
752 1.32657 1.41553e-15
753 1.32064 1.11022e-15
754 1.31472 1.33227e-15
755 1.30879 1.22125e-15
756 1.30286 1.33227e-15
757 1.29693 1.47105e-15
758 1.291 1.55431e-15
759 1.28506 1.41553e-15
760 1.27912 1.08247e-15
761 1.27319 1.19349e-15
762 1.26725 1.13798e-15
763 1.2613 1.52656e-15
764 1.25536 1.38778e-15
765 1.24942 1.41553e-15
766 1.24347 1.36002e-15
767 1.23753 1.30451e-15
768 1.23158 1.77636e-15
769 1.22563 1.52656e-15
770 1.21969 1.63758e-15
771 1.21374 1.55431e-15
772 1.20779 1.80411e-15
773 1.20184 1.47105e-15
774 1.19589 1.55431e-15
775 1.18994 1.72085e-15
776 1.18399 1.16573e-15
777 1.17805 1.22125e-15
778 1.1721 1.36002e-15
779 1.16615 1.30451e-15
780 1.1602 1.44329e-15
781 1.15426 1.249e-15
782 1.14831 1.33227e-15
783 1.14237 1.22125e-15
784 1.13642 9.4369e-16
785 1.13048 7.77156e-16
786 1.12454 9.15934e-16
787 1.1186 9.99201e-16
788 1.11266 1.16573e-15
789 1.10672 1.30451e-15
790 1.10079 1.36002e-15
791 1.09485 1.36002e-15
792 1.08892 1.19349e-15
793 1.08299 1.05471e-15
794 1.07706 1.08247e-15
795 1.07114 1.05471e-15
796 1.06521 1.13798e-15
797 1.05929 1.08247e-15
798 1.05337 1.08247e-15
799 1.04746 1.27676e-15
800 1.04154 1.22125e-15
801 1.03563 8.32667e-16
802 1.02973 1.23512e-15
803 1.02382 1.13798e-15
804 1.01792 1.36002e-15
805 1.01202 1.44329e-15
806 1.00613 1.73472e-15
807 1.00024 1.66533e-15
808 0.994349 1.30451e-15
809 0.988466 1.44329e-15
810 0.982586 1.55431e-15
811 0.976709 1.6237e-15
812 0.970837 1.54043e-15
813 0.964969 1.48492e-15
814 0.959106 1.3739e-15
815 0.953246 1.55431e-15
816 0.947391 1.13798e-15
817 0.941541 1.1241e-15
818 0.935695 1.1241e-15
819 0.929854 1.23512e-15
820 0.924017 1.19349e-15
821 0.918186 1.34615e-15
822 0.91236 1.4988e-15
823 0.906539 1.4988e-15
824 0.900723 1.06859e-15
825 0.894912 1.1241e-15
826 0.889107 1.26288e-15
827 0.883308 1.30451e-15
828 0.877514 1.05471e-15
829 0.871726 1.1241e-15
830 0.865944 1.20737e-15
831 0.860168 1.11022e-15
832 0.854398 1.29063e-15
833 0.848634 8.46545e-16
834 0.842876 1.19349e-15
835 0.837125 1.1241e-15
836 0.83138 1.26288e-15
