i Re Im
535 -0.280551 1.38778e-17
536 -0.291434 -1.38778e-17
537 -0.302206 -8.32667e-17
538 -0.312865 -4.16334e-17
539 -0.323405 -6.93889e-17
540 -0.333824 -1.11022e-16
541 -0.344117 -5.55112e-17
542 -0.354281 -8.32667e-17
543 -0.364312 -4.16334e-17
544 -0.374208 -3.33067e-16
545 -0.383963 -2.498e-16
546 -0.393575 -4.16334e-16
547 -0.40304 -3.60822e-16
548 -0.412356 -4.16334e-16
549 -0.421518 -5.27356e-16
550 -0.430523 -4.16334e-16
551 -0.439369 -2.22045e-16
552 -0.448053 -2.498e-16
553 -0.45657 -1.94289e-16
554 -0.464919 -3.88578e-16
555 -0.473096 -2.498e-16
556 -0.481099 -3.88578e-16
557 -0.488924 -1.66533e-16
558 -0.49657 -1.66533e-16
559 -0.504033 -8.32667e-17
560 -0.511311 -3.60822e-16
561 -0.518401 -2.22045e-16
562 -0.525302 -2.77556e-16
563 -0.53201 -1.66533e-16
564 -0.538524 -1.66533e-16
565 -0.544841 -2.77556e-16
566 -0.55096 0
567 -0.556878 0
568 -0.562593 0
569 -0.568104 1.11022e-16
570 -0.573409 -1.11022e-16
571 -0.578506 1.66533e-16
572 -0.583393 -5.55112e-17
573 -0.58807 1.11022e-16
574 -0.592534 0
575 -0.596784 -1.11022e-16
576 -0.60082 -1.66533e-16
577 -0.604639 0
578 -0.608241 -5.55112e-17
579 -0.611625 -5.55112e-17
580 -0.614791 -2.77556e-16
581 -0.617736 0
582 -0.620461 -5.55112e-17
583 -0.622964 1.66533e-16
584 -0.625246 0
585 -0.627306 1.11022e-16
586 -0.629143 5.55112e-17
587 -0.630758 2.22045e-16
588 -0.632149 -5.55112e-17
589 -0.633318 1.11022e-16
590 -0.634264 1.11022e-16
591 -0.634987 2.22045e-16
592 -0.635487 -1.66533e-16
593 -0.635765 5.55112e-17
594 -0.635822 -1.11022e-16
595 -0.635656 -1.11022e-16
596 -0.63527 -2.22045e-16
597 -0.634664 -5.55112e-17
598 -0.633838 -5.55112e-17
599 -0.632793 0
600 -0.631531 5.55112e-17
601 -0.630052 5.55112e-17
602 -0.628358 5.55112e-17
603 -0.62645 1.11022e-16
604 -0.624328 -1.11022e-16
605 -0.621995 -5.55112e-17
606 -0.619452 -5.55112e-17
607 -0.6167 1.11022e-16
