iteracja	x	epsilon
583	2.197660	0.003198
584	2.195919	0.000074
585	2.196852	0.002626
586	2.197730	0.000809
587	2.197279	0.001811
588	2.197819	0.000427
589	2.197857	0.000089
590	2.197913	0.000578
591	2.198081	0.000094
592	2.198173	0.000224
593	2.208201	0.000260
594	2.197850	0.010120
595	2.198165	0.000323
596	2.197843	0.010036
597	2.192983	0.000007
598	2.188558	0.005182
599	2.197858	0.009285
600	2.194782	0.004875
601	2.197866	0.006224
602	2.197880	0.000008
603	2.197887	0.003097
604	2.198142	0.000021
605	2.198166	0.000262
606	2.195665	0.000279
607	2.197907	0.002477
608	2.198203	0.000258
609	2.197933	0.002538
610	2.197357	0.000025
611	2.197515	0.000846
612	2.198013	0.000418
613	2.197770	0.000655
614	2.198124	0.000255
615	2.198254	0.000111
616	2.198760	0.000483
617	2.197945	0.000636
618	2.198139	0.000309
619	2.197867	0.000621
620	2.197293	0.000078
621	2.187279	0.000847
622	2.197951	0.010588
623	2.197343	0.000658
624	2.197956	0.010064
625	2.198028	0.000005
626	2.198033	0.000685
627	2.201346	0.000077
628	2.197168	0.003318
629	2.198018	0.000866
630	2.196878	0.003328
631	2.198082	0.000290
632	2.198066	0.000065
633	2.198139	0.001188
634	2.197685	0.000057
635	2.197791	0.000381
636	2.198547	0.000349
637	2.197974	0.000863
638	2.197508	0.000183
639	2.197873	0.001040
640	2.198076	0.000101
641	2.197983	0.000568
642	2.199205	0.000111
643	2.197099	0.001129
644	2.197939	0.000884
645	2.194324	0.001266
646	2.197998	0.002775
647	2.197955	0.000058
648	2.198012	0.003631
649	2.199094	0.000014
650	2.199591	0.001140
651	2.197965	0.001579
652	2.198631	0.001129
653	2.197931	0.000960
654	2.197876	0.000034
655	2.197830	0.000755
656	2.198226	0.000101
657	2.198106	0.000350
658	2.196411	0.000276
659	2.197916	0.001815
660	2.198149	0.000190
661	2.197951	0.001738
662	2.197006	0.000036
663	2.197411	0.001143
664	2.198004	0.000541
665	2.197664	0.000998
666	2.198093	0.000253
667	2.198161	0.000089
668	2.198344	0.000497
669	2.197854	0.000251
670	2.198007	0.000307
671	2.197486	0.000337
672	2.198384	0.000368
673	2.198110	0.000377
674	2.199930	0.000624
675	2.197980	0.001547
676	2.198079	0.000130
677	2.197953	0.001851
678	2.197093	0.000027
679	2.196254	0.000986
680	2.198010	0.001699
681	2.197425	0.000917
682	2.198041	0.001171
683	2.198103	0.000030
684	2.198141	0.000678
685	2.197666	0.000101
686	2.197846	0.000437
687	2.198517	0.000295
688	2.198002	0.000851
689	2.197639	0.000156
690	2.197902	0.000878
691	2.198147	0.000100
692	2.198036	0.000509
693	2.196642	0.000135
694	2.197745	0.001506
695	2.198077	0.000291
696	2.197818	0.001435
697	2.198405	0.000073
698	2.198633	0.000328
699	2.197438	0.000815
700	2.198197	0.000967
701	2.192414	0.000436
702	2.198448	0.005024
703	2.198215	0.000250
704	2.198498	0.005801
705	2.198067	0.000051
706	2.198077	0.000148
707	2.197967	0.000421
708	2.197673	0.000100
709	2.196752	0.000404
710	2.198115	0.001214
711	2.197775	0.000442
712	2.198173	0.001022
713	2.198707	0.000058
714	2.199741	0.000932
715	2.198080	0.001568
716	2.198483	0.000627
717	2.198048	0.001258
718	2.197976	0.000032
719	2.197946	0.000507
720	2.195796	0.000102
721	2.198651	0.002180
722	2.197970	0.000705
723	2.198962	0.002174
724	2.197885	0.000311
725	2.197914	0.000085
726	2.197809	0.001048
727	2.198210	0.000077
728	2.198129	0.000297
729	2.193201	0.000320
730	2.197926	0.005010
731	2.198144	0.000202
732	2.197938	0.004943
733	2.197103	0.000012
734	2.197256	0.001041
735	2.197997	0.000682
736	2.197626	0.000894
737	2.198067	0.000370
738	2.198136	0.000070
739	2.198252	0.000509
740	2.197788	0.000185
741	2.197954	0.000348
742	2.195362	0.000298
743	2.198164	0.002426
744	2.197974	0.000210
745	2.198196	0.002612
746	2.197593	0.000032
747	2.197666	0.000381
748	2.198630	0.000531
749	2.197887	0.001036
750	2.197115	0.000222
751	2.197762	0.001515
752	2.197953	0.000125
753	2.197859	0.000838
754	2.198143	0.000097
755	2.198242	0.000191
756	2.174634	0.000383
757	2.197955	0.023510
758	2.198247	0.000287
759	2.197958	0.023614
760	2.197688	0.000003
761	2.197695	0.000559
762	2.198110	0.000262
763	2.197931	0.000422
764	2.198441	0.000235
765	2.196543	0.000331
766	2.197778	0.001387
767	2.198687	0.000663
768	2.197839	0.002144
769	2.197561	0.000061
770	2.197691	0.001126
771	2.197969	0.000148
772	2.197889	0.000408
773	2.198126	0.000198
774	2.198343	0.000156
775	2.193481	0.000455
776	2.197981	0.004645
777	2.198385	0.000362
778	2.197993	0.004904
779	2.197838	0.000012
780	2.197855	0.000547
781	2.198303	0.000138
782	2.198094	0.000464
783	2.197395	0.000239
784	2.197941	0.000908
785	2.198214	0.000153
786	2.198025	0.000819
787	2.197581	0.000084
788	2.197804	0.000633
789	2.198158	0.000221
790	2.197951	0.000578
791	2.200200	0.000148
792	2.197454	0.002042
793	2.197926	0.000497
794	2.197245	0.002274
795	2.198019	0.000209
796	2.197996	0.000093
797	2.198091	0.000751
798	2.194534	0.000072
799	2.197395	0.003462
800	2.198109	0.000696
801	2.197499	0.003575
802	2.198238	0.000104
803	2.198273	0.000129
804	2.198656	0.000774
805	2.198026	0.000417
806	2.198137	0.000247
807	2.197948	0.000519
808	2.197701	0.000077
809	2.197307	0.000436
810	2.198105	0.000642
811	2.197844	0.000404
812	2.198213	0.000537
813	2.199346	0.000108
814	2.196502	0.001502
815	2.198151	0.001711
816	2.212587	0.001196
817	2.198207	0.016085
818	2.198146	0.000056
819	2.198201	0.014441
820	2.197938	0.000006
821	2.197934	0.000208
822	2.197533	0.000266
823	2.198375	0.000404
824	2.198040	0.000441
825	2.200518	0.000507
826	2.197911	0.002143
827	2.198020	0.000129
828	2.197887	0.002499
829	2.198783	0.000024
830	2.198584	0.000764
831	2.197791	0.000697
832	2.198297	0.000993
833	2.197536	0.000287
834	2.196703	0.000255
835	2.199141	0.001594
836	2.197688	0.001605
837	2.208321	0.000985
838	2.197510	0.009180
839	2.197674	0.000179
840	2.197482	0.010647
841	2.197869	0.000028
842	2.197862	0.000194
843	2.197976	0.000381
844	2.198126	0.000107
845	2.198301	0.000264
846	2.197459	0.000325
847	2.197967	0.000667
848	2.198898	0.000333
849	2.198060	0.001439
850	2.197906	0.000093
851	2.198002	0.000992
852	2.199715	0.000058
853	2.198571	0.001809
854	2.197972	0.000569
855	2.198407	0.001743
856	2.197875	0.000165
857	2.197833	0.000097
858	2.197636	0.000574
859	2.198107	0.000239
860	2.197984	0.000274
861	2.198356	0.000348
862	2.197410	0.000248
863	2.197830	0.000574
864	2.199125	0.000526
865	2.197937	0.001715
866	2.197746	0.000107
867	2.197884	0.001380
