iteracja	x	epsilon
534	2.198040	0.000818
535	2.197961	0.000682
536	2.198646	0.000432
537	2.198004	0.000605
538	2.198419	0.000043
539	2.198706	0.000226
540	2.198448	0.000702
541	2.197763	0.000029
542	2.197776	0.000943
543	2.198073	0.000672
544	2.029699	0.000309
545	2.197888	0.168077
546	2.197902	0.000185
547	2.198020	0.168202
548	2.197739	0.000132
549	2.197927	0.000163
550	2.197786	0.000093
551	2.197490	0.000047
552	2.197601	0.000438
553	2.198681	0.000185
554	2.198319	0.001192
555	2.198049	0.000718
556	2.197690	0.000632
557	2.198540	0.000629
558	2.197802	0.000491
559	2.198058	0.000112
560	2.198116	0.000482
561	2.197889	0.000314
562	2.198204	0.000169
563	2.198006	0.000088
564	2.198067	0.000118
565	2.198220	0.000137
566	2.198077	0.000214
567	2.198410	0.000009
568	2.198449	0.000191
569	2.199301	0.000373
570	2.197668	0.000891
571	2.197830	0.000781
572	2.198109	0.001470
573	2.206618	0.000441
574	2.197958	0.008787
575	2.197487	0.000151
576	2.199155	0.009130
577	2.197093	0.001197
578	2.198056	0.000395
579	2.198017	0.001098
580	2.197582	0.000924
581	2.198077	0.000474
582	2.197655	0.000060
583	2.197794	0.000073
584	2.197827	0.000283
585	2.199645	0.000172
586	2.196876	0.001851
587	2.198235	0.000951
588	2.198022	0.001411
589	2.197858	0.001145
590	2.198290	0.000377
591	2.197889	0.000269
592	2.198086	0.000031
593	2.198114	0.000204
594	2.197981	0.000225
595	2.198251	0.000104
596	2.198094	0.000137
597	2.198218	0.000113
598	2.198655	0.000033
599	2.198530	0.000561
600	2.197510	0.000313
601	2.197794	0.001145
602	2.198010	0.000736
603	2.198770	0.000500
604	2.197816	0.000976
605	2.198958	0.000194
606	2.198161	0.000188
607	2.198181	0.000346
608	2.197446	0.000777
609	2.198811	0.000716
610	2.197876	0.000630
611	2.198030	0.000430
612	2.198240	0.000780
613	2.197916	0.000364
614	2.198322	0.000115
615	2.198116	0.000082
616	2.198160	0.000200
617	2.199654	0.000162
618	2.198439	0.001539
619	2.197565	0.000279
620	2.197840	0.002089
621	2.198004	0.000600
622	2.199905	0.000439
623	2.197849	0.002065
624	2.200501	0.000155
625	2.198277	0.000596
626	2.198294	0.000428
627	2.197776	0.002207
628	2.197030	0.000501
629	2.198034	0.001264
630	2.198384	0.000258
631	2.197442	0.001354
632	2.198572	0.000592
633	2.197969	0.000188
634	2.198005	0.000527
635	2.198415	0.000566
636	2.197977	0.000446
637	2.198451	0.000028
638	2.198339	0.000036
639	2.198366	0.000362
640	2.197600	0.000085
641	2.197502	0.000739
642	2.197994	0.000864
643	2.198325	0.000394
644	2.197481	0.000823
645	2.198314	0.000513
646	2.197957	0.000010
647	2.197954	0.000476
648	2.198221	0.000361
649	2.197910	0.000263
650	2.198149	0.000043
651	2.198098	0.000071
652	2.198050	0.000188
653	2.198351	0.000099
654	2.198166	0.000253
655	2.198621	0.000117
656	2.194360	0.000271
657	2.197228	0.003807
658	2.197941	0.001394
659	2.198078	0.003581
660	2.192895	0.000851
661	2.198020	0.005046
662	2.197446	0.000058
663	2.196444	0.004552
664	2.197573	0.001577
665	2.198137	0.000127
666	2.198170	0.001693
667	2.197867	0.000597
668	2.198571	0.000270
669	2.198028	0.000401
670	2.198182	0.000162
671	2.198909	0.000389
672	2.198239	0.000881
673	2.197511	0.000057
674	2.197644	0.001398
675	2.197926	0.000595
676	2.198369	0.000415
677	2.197168	0.000725
678	2.198198	0.000758
679	2.197937	0.000171
680	2.197852	0.000768
681	2.198112	0.000346
682	2.197748	0.000175
683	2.197975	0.000104
684	2.197912	0.000137
685	2.197691	0.000164
686	2.197885	0.000284
687	2.197201	0.000027
688	2.196745	0.000491
689	2.199260	0.001139
690	2.198113	0.002059
691	2.198007	0.001367
692	2.197233	0.001253
693	2.198125	0.000880
694	2.197332	0.000118
695	2.197779	0.000100
696	2.197796	0.000346
697	2.198496	0.000463
698	2.195180	0.000718
699	2.198102	0.002616
700	2.197923	0.000394
701	2.197598	0.002744
702	2.198025	0.000504
703	2.196894	0.000102
704	2.197691	0.000704
705	2.197320	0.000334
706	2.198259	0.000426
707	2.198333	0.000568
708	2.197907	0.001013
709	2.197132	0.000352
710	2.198155	0.001201
711	2.199926	0.000247
712	2.197806	0.002793
713	2.197568	0.000349
714	2.198218	0.002358
715	2.199076	0.000413
716	2.197927	0.001508
717	2.197638	0.000291
718	2.198411	0.001438
719	2.197153	0.000484
720	2.198016	0.000484
721	2.197947	0.000395
722	2.197361	0.000794
723	2.197966	0.000655
724	2.196187	0.000019
725	2.196902	0.001174
726	2.215241	0.001064
727	2.198076	0.019054
728	2.198093	0.001174
729	2.197274	0.017148
730	2.198200	0.000802
731	2.197731	0.000107
732	2.197865	0.000457
733	2.197969	0.000335
734	2.196751	0.000237
735	2.197823	0.001114
736	2.193925	0.000146
737	2.198450	0.002826
738	2.198334	0.000627
739	2.197908	0.004409
740	2.197594	0.000542
741	2.198157	0.000741
742	2.196389	0.000248
743	2.197891	0.001205
744	2.197758	0.000266
745	2.198749	0.001369
746	2.197313	0.000858
747	2.198117	0.000445
748	2.198010	0.000632
749	2.197781	0.000697
750	2.198133	0.000336
751	2.197803	0.000123
752	2.197947	0.000022
753	2.197960	0.000185
754	2.197695	0.000157
755	2.197906	0.000252
756	2.197562	0.000054
757	2.197155	0.000134
758	2.195741	0.000751
759	2.198213	0.001821
760	2.198085	0.001058
761	2.197807	0.002344
762	2.198469	0.000406
763	2.197920	0.000384
764	2.198104	0.000114
765	2.198232	0.000365
766	2.198024	0.000312
767	2.198648	0.000080
768	2.198292	0.000415
769	2.198998	0.000269
770	2.197650	0.000350
771	2.197724	0.000642
772	2.198088	0.001274
773	2.198760	0.000438
774	2.197875	0.001036
775	2.195372	0.000213
776	2.198231	0.003388
777	2.198531	0.000356
778	2.197817	0.003160
779	2.197452	0.000414
780	2.198125	0.001079
781	2.198824	0.000308
782	2.197822	0.001371
783	2.197073	0.000303
784	2.198174	0.001751
785	2.198523	0.000352
786	2.197821	0.001451
787	2.197104	0.000353
788	2.198127	0.001419
789	2.198530	0.000306
790	2.197764	0.001426
791	2.195931	0.000363
792	2.198090	0.002599
793	2.198279	0.000326
794	2.197579	0.002347
795	2.198733	0.000510
796	2.197959	0.000455
797	2.198049	0.000380
798	2.198453	0.000685
799	2.198010	0.000493
800	2.198908	0.000039
801	2.198523	0.000456
802	2.199182	0.000513
803	2.197826	0.000274
804	2.197845	0.000697
805	2.198209	0.001337
806	2.197338	0.000383
807	2.198036	0.000507
808	2.197880	0.000173
809	2.197581	0.000542
810	2.197925	0.000455
811	2.188915	0.000045
812	2.196825	0.008666
813	2.198768	0.001100
814	2.198025	0.009853
815	2.197983	0.001200
816	2.199334	0.000786
817	2.198010	0.001309
818	2.198958	0.000027
819	2.199980	0.000376
820	2.199261	0.001970
821	2.197915	0.000303
822	2.197927	0.002065
823	2.198395	0.001333
824	2.197825	0.000480
825	2.198212	0.000103
826	2.198097	0.000183
827	2.198024	0.000273
828	2.198528	0.000188
829	2.198131	0.000431
830	2.198761	0.000106
831	2.196137	0.000232
832	2.197058	0.001993
833	2.197967	0.001702
834	2.198084	0.001830
835	2.195848	0.001026
836	2.198051	0.002119
837	2.197552	0.000033
838	2.197352	0.001704
839	2.197731	0.000700
840	2.198244	0.000179
841	2.198399	0.000892
842	2.197991	0.000668
843	2.197282	0.000252
844	2.198375	0.001116
845	2.197209	0.000384
846	2.197948	0.000073
847	2.197941	0.000427
848	2.194608	0.000732
849	2.197886	0.003340
850	2.199292	0.000056
851	2.198555	0.004684
852	2.198315	0.000669
853	2.197856	0.000977
854	2.197638	0.000698
855	2.198095	0.000677
856	2.178629	0.000239
857	2.197843	0.019009
858	2.197514	0.000252
859	2.198323	0.018885
860	2.199485	0.000480
861	2.197963	0.001971
862	2.197783	0.000361
863	2.198729	0.001703
864	2.197705	0.000767
865	2.198131	0.000078
866	2.198088	0.000599
867	2.197908	0.000383
868	2.198287	0.000222
869	2.198000	0.000199
870	2.198133	0.000091
871	2.198292	0.000154
872	2.198136	0.000292
873	2.199813	0.000003
874	2.199948	0.001521
875	2.197488	0.001812
876	2.197937	0.002324
877	2.198077	0.002011
878	2.196609	0.000589
879	2.198016	0.001328
880	2.197582	0.000061
881	2.197077	0.000973
882	2.197651	0.000938
883	2.198213	0.000069
884	2.198250	0.001135
885	2.197947	0.000598
886	2.186407	0.000266
887	2.198160	0.011843
888	2.199098	0.000214
889	2.197709	0.012691
890	2.197484	0.000452
891	2.198117	0.001614
892	2.198439	0.000409
893	2.197820	0.000955
894	2.152850	0.000297
895	2.198106	0.045589
896	2.198239	0.000286
897	2.197601	0.045389
898	2.198695	0.000505
899	2.197946	0.000456
900	2.198050	0.000345
901	2.198383	0.000645
902	2.197999	0.000437
903	2.198713	0.000051
904	2.198390	0.000330
905	2.198731	0.000390
906	2.197750	0.000018
907	2.197753	0.000640
908	2.198110	0.000978
909	2.201043	0.000361
910	2.197913	0.003289
911	2.197432	0.000197
912	2.198505	0.003610
913	2.190268	0.000592
914	2.197994	0.007165
915	2.197919	0.000512
916	2.179996	0.007652
917	2.197915	0.017998
918	2.198661	0.000004
919	2.198626	0.018665
920	2.198284	0.000710
921	2.197817	0.000377
922	2.197630	0.000808
923	2.198053	0.000654
924	2.200025	0.000236
925	2.197776	0.002394
926	2.196218	0.000278
927	2.198192	0.003807
928	2.198305	0.000416
929	2.197796	0.002087
930	2.194556	0.000396
931	2.198049	0.003749
932	2.198294	0.000253
933	2.197233	0.003738
934	2.198486	0.000816
935	2.197915	0.000192
936	2.197969	0.000682
937	2.198228	0.000516
938	2.197881	0.000314
939	2.198178	0.000088
940	2.198075	0.000050
941	2.198044	0.000194
942	2.198347	0.000133
943	2.198130	0.000272
944	2.198573	0.000086
945	2.202333	0.000226
946	2.196491	0.004203
947	2.197891	0.002082
948	2.198041	0.004443
949	2.198774	0.001550
950	2.197940	0.000883
951	2.200313	0.000101
952	2.198387	0.001540
953	2.198639	0.000447
954	2.197834	0.001674
955	2.197731	0.000553
956	2.198160	0.000908
957	2.195305	0.000326
958	2.197943	0.002426
959	2.197735	0.000217
960	2.199498	0.002430
961	2.197558	0.001555
962	2.198148	0.000177
963	2.198082	0.001350
964	2.197873	0.000524
965	2.198306	0.000275
966	2.197965	0.000224
967	2.198106	0.000092
968	2.198230	0.000200
969	2.198069	0.000265
970	2.198653	0.000037
971	2.198442	0.000423
972	2.205149	0.000373
973	2.197763	0.006496
974	2.197866	0.000679
975	2.198218	0.007283
976	2.197091	0.000456
977	2.198057	0.000775
978	2.197861	0.000161
979	2.197584	0.000769
980	2.197931	0.000473
981	2.204248	0.000071
982	2.196973	0.006664
983	2.198701	0.000958
984	2.198061	0.005547
985	2.197982	0.001088
986	2.203217	0.000719
987	2.198045	0.005157
988	2.200093	0.000063
989	2.196581	0.003124
990	2.195631	0.001465
991	2.198022	0.004462
992	2.198054	0.001441
993	2.196884	0.002422
994	2.198080	0.001137
995	2.197520	0.000026
996	2.197627	0.000636
997	2.197774	0.000452
998	2.198358	0.000254
999	2.199020	0.000731
1000	2.198055	0.001246
1001	2.197774	0.000303
1002	2.188974	0.001246
1003	2.197865	0.009080
1004	2.198237	0.000091
1005	2.198407	0.009263
1006	2.198066	0.000542
1007	2.197268	0.000171
1008	2.199020	0.001139
1009	2.197662	0.000954
1010	2.198023	0.000395
1011	2.198094	0.000997
1012	2.197733	0.000431
1013	2.198125	0.000290
1014	2.197886	0.000032
1015	2.197917	0.000153
1016	2.198012	0.000209
1017	2.197764	0.000125
1018	2.197932	0.000153
1019	2.197792	0.000079
1020	2.197573	0.000027
1021	2.197630	0.000359
1022	2.198939	0.000161
1023	2.198402	0.001365
1024	2.198078	0.000772
1025	2.197788	0.000861
1026	2.199280	0.000614
1027	2.197902	0.001202
1028	2.198177	0.000113
1029	2.198355	0.001102
1030	2.198062	0.000454
1031	2.195710	0.000115
1032	2.198748	0.002645
1033	2.197423	0.000687
1034	2.197962	0.001712
1035	2.198022	0.000787
1036	2.196982	0.000600
1037	2.197987	0.000980
1038	2.197330	0.000036
1039	2.196689	0.000348
1040	2.197207	0.001297
1041	2.198126	0.000123
1042	2.198111	0.001437
1043	2.197776	0.000904
1044	2.198331	0.000349
1045	2.197927	0.000220
1046	2.198047	0.000150
1047	2.198180	0.000284
1048	2.197978	0.000253
1049	2.198277	0.000069
1050	2.198150	0.000097
1051	2.198233	0.000172
1052	2.200339	0.000044
1053	2.199236	0.002188
1054	2.197731	0.001003
1055	2.197930	0.002607
1056	2.198136	0.001306
1057	2.197483	0.000405
